ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
DOM,Dominican Republic,total,Drinking water,2016,0.50004,51992.92739,Limited service
DOM,Dominican Republic,total,Sanitation,2016,2.68603,279286.5189,Open defecation
DOM,Dominican Republic,total,Drinking water,2016,1.63835,170351.2117,Surface water
DOM,Dominican Republic,total,Sanitation,2016,1.85309,192679.81721,Unimproved
DOM,Dominican Republic,total,Drinking water,2016,1.48531,154438.40855,Unimproved
ECU,Ecuador,total,Sanitation,2016,45.84042,7559597.15377,Basic service
ECU,Ecuador,total,Drinking water,2016,27.93785,4607263.5822,Basic service
ECU,Ecuador,total,Sanitation,2016,8.32433,1372774.51038,Limited service
ECU,Ecuador,total,Drinking water,2016,0.14185,23393.12899,Limited service
ECU,Ecuador,total,Sanitation,2016,2.79914,461609.56017,Open defecation
ECU,Ecuador,total,Sanitation,2016,41.80394,6893936.2454,Safely managed service
ECU,Ecuador,total,Drinking water,2016,65.83156,10856358.47533,Safely managed service
ECU,Ecuador,total,Drinking water,2016,3.22088,531158.82379,Surface water
ECU,Ecuador,total,Sanitation,2016,1.23216,203197.53012,Unimproved
ECU,Ecuador,total,Drinking water,2016,2.86785,472940.98936,Unimproved
FJI,Fiji,total,Sanitation,2016,97.343,849226.19282,At least basic
FJI,Fiji,total,Drinking water,2016,94.26045,822333.84123,At least basic
FJI,Fiji,total,Sanitation,2016,1.91585,16713.95133,Limited service
FJI,Fiji,total,Drinking water,2016,0,0,Limited service
FJI,Fiji,total,Sanitation,2016,0.04077,355.69785,Open defecation
FJI,Fiji,total,Drinking water,2016,2.34074,20420.72325,Surface water
FJI,Fiji,total,Sanitation,2016,0.70038,6110.18955,Unimproved
FJI,Fiji,total,Drinking water,2016,3.39881,29651.46045,Unimproved
GAB,Gabon,total,Sanitation,2016,48.91162,982087.63577,At least basic
GAB,Gabon,total,Drinking water,2016,84.20855,1690808.30787,At least basic
GAB,Gabon,total,Sanitation,2016,28.22471,566718.96059,Limited service
GAB,Gabon,total,Drinking water,2016,7.72817,155172.63325,Limited service
